SFM-02-P3867-MPF,0,197,0,1245
SIMP - 01 - P3867-PF,0,18,0,1245
SINJ - 06 - P3867-PF,0,70,0,1245
SPCOM-03-P3867-PF,0,375,0,1245
SPNCOM-04-P3867-PF,0,114,0,1245
SSP-07-P3867-PF,0,143,0,1245
SER - 144 - 3623Y4CO,0,2016,0,1246
SFM-02-P3867-MPF,0,110,0,1246
SIMP - 01 - P3867-PF,0,26,0,1246
SINJ - 06 - P3867-PF,0,42,0,1246
SPCOM-03-P3867-PF,0,340,0,1246
SPNCOM-04-P3867-PF,0,124,0,1246
SSP-07-P3867-PF,0,120,0,1246
SDIU-02-P3867-MPF,0,28,0,1247
SIMP-01-P3867-MPF,0,46,0,1247
SINJ-06-P3867-MPF,0,463,0,1247
SNL-02-P3867-MPF,0,300,0,1247
SPCOM-03-P3867-MPF,0,297,0,1247
SPNCOM-04-P3867-MPF,0,12,0,1247
STRS-02-P3867-MPF,0,32,0,1247
SDIU-02-P3867-MPF,0,12,0,1248
SFM-02-P3867-MPF,0,18,0,1248
SIMP-01-P3867-MPF,0,24,0,1248
SINJ-06-P3867-MPF,0,315,0,1248
SPCOM-03-P3867-MPF,0,248,0,1248
SPNCOM-04-P3867-MPF,0,341,0,1248
SDIU-02-P3867-MPF,0,5,0,1249
Servic-EIMPLANTE-MPF,0,1,0,1249
SIMP-01-P3867-MPF,0,15,0,1249
SINJ-06-P3867-MPF,0,315,0,1249
SNL-02-P3867-MPF,0,2448,0,1249
SPCOM-03-P3867-MPF,0,202,0,1249
SPNCOM-04-P3867-MPF,0,216,0,1249
SDIU-02-P3867-MPF,0,15,0,1251
SIMP-01-P3867-MPF,0,36,0,1251
SINJ-06-P3867-MPF,0,378,0,1251
SNL-02-P3867-MPF,0,450,0,1251
SPCOM-03-P3867-MPF,0,164,0,1251
SPNCOM-04-P3867-MPF,0,159,0,1251
SSP-07-P3867-MPF,0,40,0,1251
STRS-02-P3867-MPF,0,147,0,1251
SDIU-02-P3867-MPF,0,7,0,1252
SIMP-01-P3867-MPF,0,42,0,1252
SINJ-06-P3867-MPF,0,389,0,1252
SNL-02-P3867-MPF,0,720,0,1252
SPCOM-03-P3867-MPF,0,259,0,1252
SPEMRG-05-P3867-MPF,0,1,0,1252
SPNCOM-04-P3867-MPF,0,277,0,1252
STRS-02-P3867-MPF,0,3,0,1252
SDIU - 02 - P3867-PF,0,3,0,1253
SIMP-01-P3867-MPF,0,7,0,1253
SINJ-06-P3867-MPF,0,374,0,1253
SNL-02-P3867-MPF,0,864,0,1253
SPCOM-03-P3867-MPF,0,166,0,1253
SPNCOM-04-P3867-MPF,0,100,0,1253
STRS-02-P3867-MPF,0,66,0,1253
SDIU-02-P3867-MPF,0,1,0,1255
SIMP-01-P3867-MPF,0,13,0,1255
SINJ - 06 - P3867-PF,0,187,0,1255
SNL-02-P3867-MPF,0,196,0,1255
SPCOM-03-P3867-PF,0,97,0,1255
SPNCOM-04-P3867-MPF,0,48,0,1255
STRS-02-P3867-MPF,0,8,0,1255
SDIU - 02 - P3867-PF,0,34,0,1257
SIMP - 01 - P3867-PF,0,73,0,1257
SINJ - 06 - P3867-PF,0,783,0,1257
SPCOM-03-P3867-PF,0,186,0,1257
SPNCOM-04-P3867-PF,0,22,0,1257
SDIU - 02 - P3867-PF,0,17,0,1258
SIMP - 01 - P3867-PF,0,68,0,1258
SINJ - 06 - P3867-PF,0,201,0,1258
SPCOM-03-P3867-PF,0,132,0,1258
SPNCOM-04-P3867-PF,0,72,0,1258
SIMP - 01 - P3867-PF,0,3,0,1259
SINJ - 06 - P3867-PF,0,40,0,1259
SPCOM-03-P3867-PF,0,63,0,1259
SPNCOM-04-P3867-PF,0,124,0,1259
SER - 144 - 3623Y4CO,0,288,0,1260
Service-EIMPLANTE-PF,0,4,0,1260
SFM-02-P3867-MPF,0,29,0,1260
SIMP - 01 - P3867-PF,0,19,0,1260
SINJ - 06 - P3867-PF,0,4,0,1260
SPCOM-03-P3867-PF,0,632,0,1260
SPNCOM-04-P3867-PF,0,224,0,1260
SSP-07-P3867-PF,0,119,0,1260
SER - 144 - 3623Y4CO,0,432,0,1262
SIMP - 01 - P3867-PF,0,6,0,1262
SINJ - 06 - P3867-PF,0,15,0,1262
SPCOM-03-P3867-PF,0,157,0,1262
SPNCOM-04-P3867-PF,0,79,0,1262
SSP-07-P3867-PF,0,30,0,1262
SDIU-02-P3867-MPF,0,24,0,1263
SIMP-01-P3867-MPF,0,106,0,1263
SINJ-06-P3867-MPF,0,748,0,1263
SNL-02-P3867-MPF,0,500,0,1263
SPCOM-03-P3867-MPF,0,296,0,1263
SPNCOM-04-P3867-MPF,0,277,0,1263
SDIU - 02 - P3867-PF,0,7,0,1273
SIMP - 01 - P3867-PF,0,22,0,1273
SIMP-01-P3867-MPF,0,1,0,1273
SINJ - 06 - P3867-PF,0,29,0,1273
SINJ-06-P3867-MPF,0,179,0,1273
SNL-02-P3867-MPF,0,450,0,1273
SPCOM-03-P3867-MPF,0,298,0,1273
SPCOM-03-P3867-PF,0,10,0,1273
SPNCOM-04-P3867-MPF,0,248,0,1273
SPNCOM-04-P3867-PF,0,40,0,1273
STRS-02-P3867-MPF,0,14,0,1273
SIMP-01-P3867-MPF,0,8,0,1274
SINJ - 06 - P3867-PF,0,218,0,1274
SNL-02-P3867-MPF,0,908,0,1274
SPCOM-03-P3867-PF,0,356,0,1274
