SINJ - 06 - P3867-PF,0,660,0,-660,,1240
SPCOM-03-P3867-PF,0,440,0,-440,,1240
SPNCOM-04-P3867-PF,0,183,0,-183,,1240
SER - 144 - 3623Y4CO,0,1872,0,-1872,,1241
Servic-EIMPLANTE-MPF,0,1,0,-1,,1241
SFM-02-P3867-MPF,0,70,0,-70,,1241
SIMP - 01 - P3867-PF,0,11,0,-11,,1241
SIMP-01-P3867-MPF,0,32,0,-32,,1241
SINJ - 06 - P3867-PF,0,8,0,-8,,1241
SINJ-06-P3867-MPF,0,19,0,-19,,1241
SPCOM-03-P3867-MPF,0,361,0,-361,,1241
SPCOM-03-P3867-PF,0,65,0,-65,,1241
SPNCOM-04-P3867-MPF,0,50,0,-50,,1241
SPNCOM-04-P3867-PF,0,35,0,-35,,1241
SIMP - 01 - P3867-PF,0,20,0,-20,,1242
SINJ - 06 - P3867-PF,0,22,0,-22,,1242
SPCOM-03-P3867-PF,0,404,0,-404,,1242
SPNCOM-04-P3867-PF,0,122,0,-122,,1242
SSP-07-P3867-PF,0,98,0,-98,,1242
SIMP - 01 - P3867-PF,0,62,0,-62,,1243
SINJ - 06 - P3867-PF,0,420,0,-420,,1243
SPCOM-03-P3867-PF,0,412,0,-412,,1243
SPNCOM-04-P3867-PF,0,133,0,-133,,1243
STRS-02-P3867-MPF,0,30,0,-30,,1243
SER - 144 - 3623Y4CO,0,288,0,-288,,1245
SFM-02-P3867-MPF,0,147,0,-147,,1245
SIMP - 01 - P3867-PF,0,19,0,-19,,1245
SINJ - 06 - P3867-PF,0,68,0,-68,,1245
SPCOM-03-P3867-PF,0,363,0,-363,,1245
SPNCOM-04-P3867-PF,0,174,0,-174,,1245
SSP-07-P3867-MPF,0,137,0,-137,,1245
SSP-07-P3867-PF,0,91,0,-91,,1245
SER - 144 - 3623Y4CO,0,1728,0,-1728,,1246
SFM-02-P3867-MPF,0,42,0,-42,,1246
SIMP - 01 - P3867-PF,0,28,0,-28,,1246
SINJ - 06 - P3867-PF,0,56,0,-56,,1246
SPCOM-03-P3867-PF,0,1063,0,-1063,,1246
SPNCOM-04-P3867-PF,0,409,0,-409,,1246
SSP-07-P3867-MPF,0,53,0,-53,,1246
SSP-07-P3867-PF,0,87,0,-87,,1246
SDIU-02-P3867-MPF,0,31,0,-31,,1247
SIMP-01-P3867-MPF,0,47,0,-47,,1247
SINJ-06-P3867-MPF,0,545,0,-545,,1247
SNL-02-P3867-MPF,0,1440,0,-1440,,1247
SPCOM-03-P3867-MPF,0,348,0,-348,,1247
SPEMRG-05-P3867-MPF,0,4,0,-4,,1247
SPNCOM-04-P3867-MPF,0,81,0,-81,,1247
STRS-02-P3867-MPF,0,45,0,-45,,1247
SDIU-02-P3867-MPF,0,15,0,-15,,1248
SIMP-01-P3867-MPF,0,34,0,-34,,1248
SINJ-06-P3867-MPF,0,350,0,-350,,1248
SNL-02-P3867-MPF,0,288,0,-288,,1248
SPCOM-03-P3867-MPF,0,290,0,-290,,1248
SPNCOM-04-P3867-MPF,0,376,0,-376,,1248
SDIU-02-P3867-MPF,0,7,0,-7,,1249
Servic-EIMPLANTE-MPF,0,2,0,-2,,1249
SIMP-01-P3867-MPF,0,31,0,-31,,1249
SINJ-06-P3867-MPF,0,343,0,-343,,1249
SNL-02-P3867-MPF,0,2160,0,-2160,,1249
SPCOM-03-P3867-MPF,0,392,0,-392,,1249
SPNCOM-04-P3867-MPF,0,471,0,-471,,1249
SDIU-02-P3867-MPF,0,22,0,-22,,1251
SFM-02-P3867-MPF,0,564,0,-564,,1251
SIMP-01-P3867-MPF,0,21,0,-21,,1251
SINJ-06-P3867-MPF,0,435,0,-435,,1251
SNL-02-P3867-MPF,0,936,0,-936,,1251
SPCOM-03-P3867-MPF,0,125,0,-125,,1251
SPEMRG-05-P3867-MPF,0,1,0,-1,,1251
SPNCOM-04-P3867-MPF,0,134,0,-134,,1251
STRS-02-P3867-MPF,0,170,0,-170,,1251
SDIU-02-P3867-MPF,0,8,0,-8,,1252
SIMP-01-P3867-MPF,0,31,0,-31,,1252
SINJ-06-P3867-MPF,0,351,0,-351,,1252
SNL-02-P3867-MPF,0,1008,0,-1008,,1252
SPCOM-03-P3867-MPF,0,184,0,-184,,1252
SPNCOM-04-P3867-MPF,0,277,0,-277,,1252
STRS-02-P3867-MPF,0,41,0,-41,,1252
SDIU - 02 - P3867-PF,0,11,0,-11,,1253
SIMP - 01 - P3867-PF,0,22,0,-22,,1253
SIMP-01-P3867-MPF,0,25,0,-25,,1253
SINJ - 06 - P3867-PF,0,348,0,-348,,1253
SINJ-06-P3867-MPF,0,61,0,-61,,1253
SNL-02-P3867-MPF,0,1728,0,-1728,,1253
SPCOM-03-P3867-MPF,0,202,0,-202,,1253
SPCOM-03-P3867-PF,0,63,0,-63,,1253
SPNCOM-04-P3867-MPF,0,38,0,-38,,1253
SPNCOM-04-P3867-PF,0,107,0,-107,,1253
STRS-02-P3867-MPF,0,38,0,-38,,1253
SER - 144 - 3623Y4CO,0,59328,0,-59328,,1255
SIMP - 01 - P3867-PF,0,26,0,-26,,1255
SINJ - 06 - P3867-PF,0,225,0,-225,,1255
SPCOM-03-P3867-PF,0,184,0,-184,,1255
SPNCOM-04-P3867-PF,0,125,0,-125,,1255
STMRS-02-P3867-MPF,0,4,0,-4,,1255
STRS-02-P3867-MPF,0,8,0,-8,,1255
SDIU-02-P3867-MPF,0,82,0,-82,,1257
SIMP - 01 - P3867-PF,0,33,0,-33,,1257
SIMP-01-P3867-MPF,0,39,0,-39,,1257
SINJ-06-P3867-MPF,0,716,0,-716,,1257
SNL-02-P3867-MPF,0,1296,0,-1296,,1257
SPCOM-03-P3867-MPF,0,118,0,-118,,1257
SPCOM-03-P3867-PF,0,427,0,-427,,1257
SPNCOM-04-P3867-MPF,0,47,0,-47,,1257
SPNCOM-04-P3867-PF,0,229,0,-229,,1257
SDIU - 02 - P3867-PF,0,32,0,-32,,1258
SIMP - 01 - P3867-PF,0,43,0,-43,,1258
SIMP-01-P3867-MPF,0,5,0,-5,,1258
SINJ-06-P3867-MPF,0,145,0,-145,,1258
SNL-02-P3867-MPF,0,1340,0,-1340,,1258
SPCOM-03-P3867-PF,0,76,0,-76,,1258
SPNCOM-04-P3867-MPF,0,169,0,-169,,1258
UNF-PF-EDIU,0,8,0,-8,,1258
SER - 144 - 3623Y4CO,0,1584,0,-1584,,1260
Service-EIMPLANTE-PF,0,1,0,-1,,1260
SIMP - 01 - P3867-PF,0,33,0,-33,,1260
SINJ - 06 - P3867-PF,0,13,0,-13,,1260
SPCOM-03-P3867-PF,0,836,0,-836,,1260
SPNCOM-04-P3867-PF,0,321,0,-321,,1260
SSP-07-P3867-PF,0,99,0,-99,,1260
SSP-07-P386-PF,0,7,0,-7,,1260
SER - 144 - 3623Y4CO,0,2160,0,-2160,,1262
SFM-02-P3867-MPF,0,54,0,-54,,1262
SIMP - 01 - P3867-PF,0,24,0,-24,,1262
SINJ - 06 - P3867-PF,0,48,0,-48,,1262
SPCOM-03-P3867-PF,0,410,0,-410,,1262
SPNCOM-04-P3867-PF,0,221,0,-221,,1262
SSP-07-P3867-PF,0,74,0,-74,,1262
